,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
359,Murder Mystery,Kyle Newacheck,Adam Sandler Allen Covert Tripp Vinson James D. Stern James Vanderbilt A.J. Dix,,,Adam Sandler Jennifer Aniston Luke Evans Gemma Arterton Adeel Akhtar Terence Stamp,,Amir Mokri,Tom Costain,Happy Madison Productions Endgame Entertainment Vinson Films Tower Hill Entertainment Mythology Entertainment Denver and Delilah Productions,Netflix,"June 14, 2019 (United States)",97 minutes,United States,English,,,97,,,14-06-19,,,,James Vanderbilt,,,,,,,,,,,,,,,,,,,,,,
360,Virunga,Orlando von Einsiedel,Orlando von Einsiedel Joanna Natasegara,,,,Patrick Jonsson,Franklin Dow,Katie Bryer Masahiro Hirakubo Miikka Leskinen Peta Ridley,,Netflix,17 April 2014 ( Tribeca ),100 minutes,United Kingdom Congo,"['English', 'French']",,,100,,,17-04-14,,,,Orlando von Einsiedel,Violet Films Grain Media,,,,,,,,,,,,,,,,,,,,,
361,We Can Be Heroes,Robert Rodriguez,Robert Rodriguez,Robert Rodriguez,,Priyanka Chopra Christian Slater Pedro Pascal Sung Kang Boyd Holbrook Taylor Dooley Haley Reinhart Andy Walken YaYa Gosselin Akira Akbar,,,,,Netflix,,,United States,English,,,,,,,,,,,Troublemaker Studios,,,,,,,,,,,,,,,,,,,,,
362,Yes Day,Miguel Arteta,Jennifer Garner Lawrence Grey Ben Everard Daniel Rappaport Nicole King Adam Marshall Mark Moran,Justin Malen,"['Yes Day', 'by', 'Amy Krouse Rosenthal', 'Tom Lichtenheld']",Jennifer Garner Édgar Ramírez Jenna Ortega,Michael Andrews,Terry Stacey,,Grey Matter Productions Entertainment 360,Netflix,,,United States,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Art of Conflict: The Murals of Northern Ireland,Valeri Vaughn,,,,"['Gerry Adams', 'Danny Devenny', 'David Ervine']",,,,,Netflix,12-Oct-12,73 minutes,"Ireland, United Kingdom, United States",English,,,73,,,12-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,
364,The Short Game,Josh Greenbaum,"['Josh Greenbaum', 'Christopher Leggett', 'Rafael Marmor']",,,,,,,,Netflix,20-Sep-13,99 minutes,United States,English,,"$39,819 ",99,,39819,20-09-13,,,,,,,Edd Hall,,,,,,,,,,,,,,,,,,,
365,The Square (El-Midan),Jehane Noujaim,Karim Amer,,,"['Khalid Abdalla', 'Ahmed Hassan', 'Dina Abdullah', 'Magdy Ashour', 'Sherif Boray', 'Aida El-Kashef']","['Jonas Colstrup', 'Score:', 'H. Scott Salinas']","['Jehane Noujaim', 'Muhammad Hamdy', 'Ahmed Hassan', 'Cressida Trew']","['Christopher de la Torre', 'Mohammed el Manasterly', 'Karim Fanous', 'Pierre Haberer', 'Pedro Kos', 'Stefan Ronowicz', 'Shazeya Serag', 'Angie Wegdan']",,"['GathrFilms', 'Participant Media']","January 18, 2013 ( Sundance ) September 6, 2013 ( TIFF ) October 25, 2013 (United States)",108 minutes,"['Egypt', 'United States']","['Egyptian Arabic', 'English']",$1.5 million,"$124,244 ",108,1500000,124244,18-01-13,,,,,"['Noujaim Films', 'Worldview Entertainment']",,,,,,,,,,,,,,,,,,,,,
366,Mitt,Greg Whiteley,"['Seth Gordon', 'Adam Leibowitz', 'Greg Whiteley', 'Erin Whiteley', 'John Kingston']",,,Mitt Romney,Perrin Cloutier,Greg Whiteley,"['Adam Ridley', 'Greg Whiteley']",,Netflix,"January 17, 2014 (Sundance Film Festival)",92 minutes,United States,English,,,92,,,17-01-14,,,,Greg Whiteley,,,,,,,,,,,,,,,,,,,,,,
367,The Battered Bastards of Baseball,"['Chapman Way', 'Maclain Way']",Juliana Lembi,,,,Brocker Way,Chapman Way,Chapman Way,,Netflix,"January 20, 2014 ( Sundance )",73 minutes,United States,English,,,73,,,20-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Mission Blue,"['Robert Nixon', 'Fisher Stevens']",,,,"['Barbara Block', 'James Cameron', 'Mike deGruy']",,,,,Netflix,"January 30, 2014 (Santa Barbara International Film Festival) August 15, 2014",95 minutes,"USA, Bermuda, Ecuador",English,,,95,,,30-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Print the Legend,"['Luis Lopez', 'J. Clay Tweel']","['Walter Kortschak', 'Mary Rohlich', 'Walker Deibel', 'Seth Gordon', 'Steven Klein', ""Dan O'Meara"", 'Chad Troutwine', 'Andrew Kortschak', 'Rafi Chaudry', 'Natalia Duncan', 'Robert Epperson', 'Ryan Johnston']",,,"['Bre Pettis', 'Maxim Lobovsky', 'Avi Reichental', 'Cody Wilson']","['Kyle Johnston', 'Matthew McGaughey', 'Noah Wall']","['Luis Lopez', 'J. Clay Tweel']","['Luis Lopez', 'J. Clay Tweel']","['Audax Films', 'Exhibit A']",Netflix,"March 9, 2014 (South by Southwest Film Festival) September 26, 2014",100 minutes,,English,,,100,,,09-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,
370,E-Team,"['Katy Chevigny', 'Ross Kauffman']","['Katy Chevigny', 'Ross Kauffman', 'Marilyn Ness']",,,,T. Griffin,"['Rachel Beth Anderson', 'Ross Kauffman']",David Teague,,,"January 18, 2014 ( Sundance )",90 minutes,United States,English,,,90,,,18-01-14,,,,,"['Big Mouth Productions', 'Red Light Films']",,,,,,,,,,,,,,,,,,,,,
371,Virunga,Orlando von Einsiedel,Orlando von Einsiedel Joanna Natasegara,,,,Patrick Jonsson,Franklin Dow,Katie Bryer Masahiro Hirakubo Miikka Leskinen Peta Ridley,,Netflix,17 April 2014 ( Tribeca ),100 minutes,United Kingdom Congo,"['English', 'French']",,,100,,,17-04-14,,,,Orlando von Einsiedel,Violet Films Grain Media,,,,,,,,,,,,,,,,,,,,,
372,My Own Man,David Sampliner,Edward Norton,,,,,,,,Netflix,31-Dec-14,82 minutes,United States,English,,,82,,,31-12-14,,,,David Sampliner,,,,,,,,,,,,,,,,,,,,,,
373,"The Other One: The Long, Strange Trip of Bob Weir",Mike Fleiss,Marc Weingarten Martin Hilton Justin Kreutzmann Sam Kropf,,,Trixie Garcia Phil Lesh Mickey Hart Bill Kreutzmann Mike Gordon Jorma Kaukonen,,,Rich Fox,,Netflix,22-May-15,85 minutes,United States,English,,,85,,,22-05-15,,,,Sam Kropf,Next Entertainment,,,,,,,,,,,,,,,,,,,,,
374,Hot Girls Wanted,Jill Bauer Ronna Gradus,Rashida Jones Jill Bauer Ronna Gradus Brittany Huckabee,,,,Daniel Ahearn,Ronna Gradus,Brittany Huckabee,,Netflix,"January 24, 2015 ( Sundance ) May 29, 2015 (Netflix)",84 minutes,United States,English,,,84,,,24-01-15,,,,Brittany Huckabee,Two to Tangle Productions,,,,,,,,,,,,,,,,,,,,,
375,"What Happened, Miss Simone?",Liz Garbus,,,,,,,,,Netflix,"January 22, 2015 ( Sundance ) June 26, 2015 (Netflix)",101 minutes,United States,English,,,101,,,22-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Tig,"['Kristina Goolsby', 'Ashley York']",Beachside Films,,,Tig Notaro,,,Scott Evans,,,17-Jul-15,,United States,English,,,,,,17-07-15,,,,Jennifer Arnold,Netflix,,,,,,,,,,,,,,,,,,,,,
377,Keith Richards: Under the Influence,Morgan Neville,,,,,,,,,Netflix,"September 17, 2015 (TIFF)",81 minutes,United States,English,,,81,,,17-09-15,,,,"['Steve Jordan', 'Keith Richards', 'Waddy Wachtel']",,,,,,,,,,,,,,,,,,,,,,
378,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,"['Evgeny Afineevsky', 'Den Tolmor', 'Pavlo Peleshok', 'Yuri Ivanyshyn']",,,,,,,,,"['3 September 2015', '(', 'Venice Film Festival', ')', '9 October 2015', '(Worldwide)']",102 minutes,"['Ukraine', 'United States', 'United Kingdom']","['Ukrainian', 'Russian', 'English']",,,102,,,03-09-15,,,,,,,Cissy Jones,,,,,,,,,,,,,,,,,,,
379,My Beautiful Broken Brain,"['Sophie Robinson', 'Lotje Sodderland']",Sophie Robinson,,,,,,,,Netflix,"November 21, 2014 ( IDFA )",84 minutes,United Kingdom,English,,,84,,,21-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Team Foxcatcher,Jon Greenhalgh,,,,,John Kusiak,,,,Netflix,"April 18, 2016 (Tribeca Film Festival) April 29, 2016",90 minutes,United States,English,,,90,,,18-04-16,,,,"['Dan Chaid', 'John du Pont', 'Dave Schultz']",,,,,,,,,,,,,,,,,,,,,,
381,Tony Robbins: I Am Not Your Guru,Joe Berlinger,,,,"['Sage Bonnie Humphrey', 'Steven Kronick', 'Anthony Robbins']",,,,,Netflix,"March 14, 2016 (South by Southwest) July 15, 2016",115 minutes,United States,English,,,115,,,14-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,
382,I'll Sleep When I'm Dead,Justin Krook,David Gelb Matthew Weaver Happy Walters Matt Colon,,Steve Aoki,Steve Aoki,Duncan Thum,Michael Dwyer,Aaron I. Naar Nicole Vaskell,,Netflix Relativity Media,,79 minutes,United States,English,,,79,,,,,,,,City Room Creative Hyperion Media Group MediaWeaver Productions Fancy Film Post Services,,,,,,,,,,,,,,,,,,,,,
383,Extremis,Dan Krauss,Dan Krauss,,,,Justin Melland,Dan Krauss,Jeff Gilbert,,Netflix,"April 17, 2016 (Tribeca Film Festival)",24 minutes,United States,English,,,24,,,17-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,
384,The White Helmets,Orlando von Einsiedel,Joanna Natasegara,,,,,Khaled Khateeb,,,Netflix,16-Sep-16,40 minutes,United Kingdom,"['English', 'Arabic']",,,40,,,16-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Audrie & Daisy,Bonni Cohen Jon Shenk,Richard Berge Sara Dosa,,,Audrie Pott Daisy Coleman Paige Parkhurst Melinda Coleman,Tyler Strickland,Jon Shenk,Don Bernier,,Netflix,"January 25, 2016 (Sundance) September 23, 2016 (Netflix)",95 minutes,United States,English,,,95,,,25-01-16,,,,,Actual Films,,,,,,,,,,,,,,,,,,,,,
386,Amanda Knox,"['Rod Blackhurst', 'Brian McGinn']","['Rod Blackhurst', 'Mette Heide', 'Brian McGinn', 'Stephen Robert Morse']",,,,"['Danny Bensi', 'Saunder Jurriaans']",Rod Blackhurst,Matthew Hamachek,,Netflix,"September 10, 2016 (Toronto International Film Festival) September 30, 2016 (United States)",92 minutes,United States,"English, Italian",,,92,,,10-09-16,,,,"['Matthew Hamachek', 'Brian McGinn']",,,,,,,,,,,,,,,,,,,,,,
387,13th,Ava DuVernay,Howard Barish Ava DuVernay Spencer Averick,,,,Jason Moran,Hans Charles Kira Kelly,Spencer Averick,,Netflix,"September 30, 2016 ( NYFF ) October 7, 2016 (United States)",100 minutes,United States,English,$1 million,$566 (UK only),100,1000000,566,30-09-16,,,,Ava DuVernay Spencer Averick,Kandoo Films,,,,,,,,,,,,,,,,,,,,,
388,Sky Ladder: The Art of Cai Guo-Qiang,Kevin Macdonald,,,,"['Ian Buruma', 'Guo-Qiang Cai', 'Wen-You Cai']",,,,,Netflix,14-Oct-16,76 minutes,United States,"English, Mandarin",,,76,,,14-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Into the Inferno,Werner Herzog,André Singer Lucki Stipetic,,,,,Peter Zeitlinger,Joe Bini,,Netflix,3 September 2016 (Telluride Film Festival) 28 October 2016 (Worldwide),104 minutes,"['United Kingdom', 'Austria']",English,,,104,,,03-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
390,The Ivory Game,Richard Ladkani Kief Davidson,Walter Köhler Kief Davidson Wolfgang Knöpfler,,,,,Richard Ladkani,,"Vulcan Productions Terra Mater Factual Studios, in association with Malaika Pictures, in association with Appian Way",,"September 2, 2016 (Telluride Film Festival) November 4, 2016 (Netflix)",,,,,,,,,02-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Casting JonBenet,Kitty Green,"['Kitty Green', 'Scott Macaulay', 'James Schamus']",,,,Nathan Larson,Michael Latham,Davis Coombe,,Netflix,22 January 2017 ( Sundance Film Festival ) 28 April 2017 (Netflix),80 minutes,United States,English,,,80,,,22-01-17,,,,,"['Forensic Films', 'Symbolic Exchange', 'Meridian Entertainment']",,,,,,,,,,,,,,,,,,,,,
392,The Mars Generation,Michael Barnett,"['Austin Francalancia', 'Clare Tucker']",,,"['Bob Behnken', 'Alayna Bidlack', 'Niko Blanks']",,,,,Netflix,05-May-17,97 minutes,United States,English,,,97,,,05-05-17,,,,"['Michael Barnett', 'Michael Mahaffie']",,,,,,,,,,,,,,,,,,,,,,
393,Get Me Roger Stone,"['Dylan Bank', 'Daniel DiMauro', 'Morgan Pehme']","['Daniel DiMauro', 'Kara Elverson', 'Blair Foster', 'Shirel Kozak', 'Frank Morano', 'Morgan Pehme', 'Fredrik Stanton']",,,Roger Stone,"['Mark Degli Antoni', 'Kyle S. Wilson']","['Dylan Bank', 'Sam Cullman', 'Daniel DiMauro', 'Ronan Killeen', 'Antonio Rossi']","['Daniel DiMauro', 'Jason Pollard']",,Netflix,"April 23, 2017 ( Tribeca Film Festival ) May 12, 2017 (United States)",92 minutes,United States,English,,,92,,,23-04-17,,,,"['Dylan Bank', 'Daniel DiMauro', 'Morgan Pehme']",,,,,,,,,,,,,,,,,,,,,,
394,Laerte-se,"['Lygia Barbosa', 'Eliane Brum']",,,,"['Laerte Coutinho', 'Eliane Brum', 'Rita Lee']",,,,,Netflix,01-May-17,100 minutes,Brazil,Portuguese,,,100,,,01-05-17,,,,Eliane Brum,,,,,,,,,,,,,,,,,,,,,,
395,Joshua: Teenager vs. Superpower,Joe Piscatella,,,,Joshua Wong,,,,,,20-Jan-17,,,,,,,,,20-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,
396,CounterPunch,Jay Bulger,,,,"['Oscar De La Hoya', 'David Diamante', 'Bernard Hopkins']",,,,,Netflix,16-Jun-17,91 minutes,United States,English,,,91,,,16-06-17,,,,Jay Bulger,,,,,,,,,,,,,,,,,,,,,,
397,Nobody Speak: Trials of the Free Press,Brian Knappenberger,"['Brian Knappenberger', 'Femke Wolting', 'Korelan Matteson']",,,,Garron Chang,,Andrew Mcallister,,,23 June 2017 (Netflix),95 minutes,,,,,95,,,23-06-17,,,,,"['Netflix', 'First Look Media']",,,,,,,,,,,,,,,,,,,,,
398,Chasing Coral-Stub,Jeff Orlowski,Jeff Orlowski Larissa Rhodes,,,,Saul Simon MacWilliams Dan Romer,Andrew Ackerman Jeff Orlowski,Davis Coombe,"Argent Pictures Code Blue Foundation EarthSense Foundation Kendeda Fund, The Sustainable Films Exposure Labs",Netflix,,93 minutes,United States,English,,,93,,,,,,,Davis Coombe Vickie Curtis Jeff Orlowski,,,,,,,,,,,,,,,,,,,,,,
399,Icarus,Bryan Fogel,Dan Cogan Bryan Fogel David Fialkow Jim Swartz,,,,Adam Peters,Jake Swantko Timothy Rode,Jon Bertain,,Netflix,"January 20, 2017 ( Sundance ) August 4, 2017 (United States)",121 minutes,United States,English,,,121,,,20-01-17,,,,Bryan Fogel Mark Monroe,Alex Productions Diamond Docs Impact Partners,,,,,,,,,,,,,,,,,,,,,
400,Resurface,"['Joshua Izenberg', 'Wynn Padula']",,,,"['Bobby Lane', 'Van Curaza', 'Martin Pollock']",,,,,Netflix,01-Sep-17,26 minutes,United States,English,,,26,,,01-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Heroin(e),Elaine McMillion Sheldon,"['Elaine McMillion Sheldon', 'Kerrin Sheldon']",,,,Daniel Hart,,,,Netflix,03-Sep-17,39 minutes,United States,English,,,39,,,03-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Strong Island,Yance Ford,"['Joslyn Barnes', 'Yance Ford']",,,,Hildur Guðnadóttir,Alan Jacobsen,Janus Billeskov Jansen,,Netflix,"January 23, 2017 (Sundance Film Festival) September 15, 2017",107 minutes,,,,,107,,,23-01-17,,,,,"['Yanceville Films', 'Louverture Films']",,,,,,,,,,,,,,,,,,,,,
403,Gaga: Five Foot Two,Chris Moukarbel,Bobby Campbell Chris Moukarbel Heather Parry Lady Gaga,,,Lady Gaga,,Chris Moukarbel,Greg Arata,,Netflix,"September 8, 2017 ( TIFF ) September 22, 2017 (Worldwide)",100 minutes,United States,English,,,100,,,08-09-17,,,,,Live Nation Productions Mermaid Films Permanent Wave,,,,,,,,,,,,,,,,,,,,,
404,Long Shot,Jacob LaMendola,,,,"['Tasha Boggs', 'Juan Catalan', 'Melissa Catalan']",,,,,Netflix,"September 3, 2017 (Telluride Film Festival) September 29, 2017",40 minutes,United States,English,,,40,,,03-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
405,The Death and Life of Marsha P. Johnson,David France,David France L. A. Teodosio Joy A. Tomchin Kimberly Reed,,,,Bryce Dessner,Tom Bergmann Adam Uhl,Tyler H. Walk,,Netflix,"April 21, 2017 ( Tribeca ) October 6, 2017",105 minutes,United States,English,,,105,,,21-04-17,,,,David France Mark Blane,Public Square Films,,,,,,,,,,,,,,,,,,,,,
406,Kingdom of Us,Lucy Cohen,,,,"['Jamie-Jodie Shanks', 'Kacie-Kimie Shanks', 'Lorie-Lanie Shanks']",,,,,Netflix,13-Oct-17,109 minutes,United Kingdom,English,,,109,,,13-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,
407,One of Us,"['Heidi Ewing', 'Rachel Grady']","['Heidi Ewing', 'Rachel Grady']",,,,T. Griffin,"['Jenni Morello', 'Alex Takats']","['J. D. Marlow', 'Enat Sidi']",,Netflix,20-Oct-17,95 minutes,United States,"['English', 'Yiddish']",,,95,,,20-10-17,,,,,Loki Films,,,,,,,,,,,,,,,,,,,,,
408,Joan Didion: The Center Will Not Hold,Griffin Dunne,Griffin Dunne Annabella Dunne Mary Recine Susanne Rostock,,,Hilton Als Tom Brokaw Dick Cheney,Nathan Halpern,Tom Hurwitz Reed Morano William Rexer,Ann Collins,,Netflix,"October 11, 2017 (New York Film Festival) October 27, 2017",94 minutes,United States,English,,,94,,,11-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Jim & Andy: The Great Beyond,Chris Smith,"['Brendan Fitzgerald', 'Danny Gabai', 'Spike Jonze', 'Chris Smith']",,,Jim Carrey,,Brantley Gutierrez,Barry Poltermann,VICE Films,Netflix,"September 5, 2017 ( Venice Film Festival ) November 17, 2017 (United States)",94 minutes,United States,English,,,94,,,05-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Saving Capitalism,"['Jacob Kornbluth', 'Sari Gilman']",,,,Robert Reich,,,,,Netflix,21-Nov-17,73 minutes,United States,English,,,73,,,21-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Cuba and the Cameraman,Jon Alpert,"['Jon Alpert', ""Matthew O'Neill"", 'Tessa Treadway']",,,,Daniel Freiberg,Jon Alpert,David Meneses,,Netflix,"September 7, 2017 ( Venice Film Festival ) November 24, 2017 ( Netflix )",113 minutes,United States,English/Spanish,,,113,,,07-09-17,,,,Jon Alpert,,,,,,,,,,,,,,,,,,,,,,
412,Voyeur,"['Myles Kane', 'Josh Koury']",Trisha Koury,,,"['Gay Talese', 'Gerald Foos']",Joel Goodman,Cristobal Moris,"['Myles Kane', 'Josh Koury']",,Netflix,"October 4, 2017 ( New York Film Festival ) December 1, 2017",96 minutes,United States,English,,,96,,,04-10-17,,,,,"['Brooklyn Underground Films', 'Chicago Media Project', 'Impact Partners', 'Public Record']",,,,,,,,,,,,,,,,,,,,,
413,Seeing Allred,"['Roberta Grossman', 'Sophie Sartain']",,,,"['Gloria Allred', 'Lisa Bloom', 'Bill Cosby']",,,,,Netflix,"January 21, 2018 (Sundance Film Festival) February 9, 2018 (Netflix)",96 minutes,United States,English,,,96,,,21-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Ladies First,"['Uraaz Bahl', 'Shaana Levy Bahl']",,,,,,John W. Rutland,Avdhesh Mohla,,Netflix,7 July 2017 (Los Angeles) 8 March 2018,40 minutes,India,Hindi,,,40,,,07-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Take Your Pills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,"Ram Dass, Going Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Mercury 13,David Sington Heather Walsh,David Sington Heather Walsh Trevor Birney Brendan Byrne Geraldine Creed,,,,Philip Sheppard,Nickolas Dylan Rossi,David Fairhead Paul Holland,,Netflix,,,,,,,,,,,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
418,The Rachel Divide,Laura Brownson,Laura Brownson Khaliah Neal Bridget Stokes Tessa Treadway Roger Ross Williams,,,,,,Jeff Seymann Gilbert,,Netflix,"April 23, 2018 (Tribeca Film Festival) April 27, 2018 (United States)",100 minutes,United States,English,,,100,,,23-04-18,,,,Laura Brownson Jeff Seymann Gilbert,,,,,,,,,,,,,,,,,,,,,,
419,End Game,"['Rob Epstein', 'Jeffrey Friedman']","['Rob Epstein', 'Jeffrey Friedman', 'Rebekah Fergusson', 'William Hirsch', 'Shoshana R. Ungerleider', 'Steven Ungerleider', 'David Ulich']",,,,"['T. Griffin', 'Máté Papp']","['Rob Epstein', 'Rebekah Fergusson']","['Rob Epstein', 'Jeffrey Friedman']",,Netflix,"January 21, 2018 ( Sundance ) May 4, 2018 (United States)",40 minutes,United States,English,,,40,,,21-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Recovery Boys,Elaine McMillion Sheldon,,,,,,,,,Netflix,"May 1, 2018 (Hot Docs) June 29, 2018 (Netflix)",89 minutes,United States,English,,,89,,,01-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,
421,The Bleeding Edge,Kirby Dick,Amy Ziering and Amy Herdy,,,,Jeff Beal,Thaddeus Wadleigh,"['Derek Boonstra', 'Andy McAllister']",,Netflix,"April 21, 2018 (Tribeca Film Festival) July 27, 2018 (United States)",96 minutes,United States,English,,,96,,,21-04-18,,,,,"['Chain Camera Pictures', 'Shark Island Productions']",,,,,,,,,,,,,,,,,,,,,
422,Zion,Floyd Russ,,,,"['Zion Clark', 'Gilbert Donahue', 'Kimberly Clark']",,,,,Netflix,10-Aug-18,12 minutes,United States,English,,,12,,,10-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,
423,City of Joy,Madeleine Gavin,Allyson Luchak,,,"['Christine Schuler-Deschryver', 'Denis Mukwege Mukengere', 'Eve Ensler']",Lokua Kanza tomandandy,Taylor Krauss Lisa Rinzler,Madeleine Gavin,,Netflix,"November 11, 2016 (DOC NYC) September 7, 2018",74 minutes,"United States, Congo","English, French, Swahili",,,74,,,11-11-16,,,,Madeleine Gavin,,,,,,,,,,,,,,,,,,,,,,
424,Reversing Roe,"['Ricki Stern', 'Anne Sundberg']","['Keli Goff', 'Anne Sundberg']",,,Donna Howard John Seago Brigitte Amiri Troy Newman Colleen McNicholas,Paul Brill,Charles Miller,Ben Gold,,Netflix,"September 13, 2018 ( Netflix )",99 minutes,United States,English,,,99,,,13-09-18,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
425,Quincy,"['Alan Hicks', 'Rashida Jones']",Paula DuPré Pesmen,,,Quincy Jones,,,,,Netflix,"September 9, 2018 ( TIFF ) September 21, 2018 (Worldwide)",124 minutes,United States,English,,,124,,,09-09-18,,,,"['Alan Hicks', 'Rashida Jones']","['TriBeCa Productions', 'Quincy Jones Productions']",,,,,,,,,,,,,,,,,,,,,
426,Two Catalonias,"['Álvaro Longoria', 'Gerardo Olivares']",,,,"['Luis María Ansón', 'Inés Arrimadas', 'Elsa Artadi']",,,,,Netflix,28-Sep-18,116 minutes,Spain,"Spanish, Catalan, English",,,116,,,28-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,,,,,,,,,Netflix,28-Sep-18,22 minutes,United States,English,,,22,,,28-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Feminists: What Were They Thinking?,Johanna Demetrakas,Lisa Remington,,,"['Laurie Anderson', 'Phyllis Chesler', 'Judy Chicago']",Lili Haydn,Kristy Tully,Kate Amend,,Netflix,"February 9, 2018 (Big Sky Documentary Film Festival) October 12, 2018",86 minutes,United States,English,,,86,,,09-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,
429,ReMastered: Who Shot the Sheriff?,Kief Davidson,,,,"['Bob Marley', 'Arnold Bertram', 'Cindy Breakspeare']",Asaf Sagiv,,,,Netflix,12-Oct-18,57 minutes,United States,English,,,57,,,12-10-18,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
430,Shirkers,Sandi Tan,"['Sandi Tan', 'Jessica Levin', 'Maya Rudolph']",,,,Ishai Adar,Iris Ng,"['Lucas Celler', 'Sandi Tan', 'Kimberley Hassett']",,Netflix,January 2018 ( Sundance ),96 minutes,,,,,96,,,,,,,Sandi Tan,Shirkers LLC,,,,,,,,,,,,,,,,,,,,,
431,They'll Love Me When I'm Dead,Morgan Neville,Josh Karp Morgan Neville Korelan Matteson Filip Jan Rymsza,,,Peter Bogdanovich Oja Kodar Orson Welles Steve Ecclesine,Daniel Wohl,,Aaron Wickenden Jason Zeldes,Tremolo Productions Royal Road Entertainment,Netflix,"August 30, 2018 ( Venice ) November 2, 2018 (United States)",98 minutes,United States,English,,,98,,,30-08-18,,,,,,,Alan Cumming,,,,,,,,,,,,,,,,,,,
432,ReMastered: Tricky Dick & the Man in Black,"['Sara Dosa', 'Barbara Kopple']",,,,"['Johnny Cash', 'Richard Nixon', 'Aram Bakshian']",,,,,Netflix,02-Nov-18,59 minutes,United States,English,,,59,,,02-11-18,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
433,The American Meme,Bert Marcus,"['Bert Marcus', 'Cassandra Thornton']",,,"['Paris Hilton', 'Josh Ostrovsky', 'Kirill Bichutsky', 'Brittany Furlan', 'Hailey Baldwin', 'DJ Khaled', 'Emily Ratajkowski', 'Matthew Felker']",Tyler Strickland,"['Will Dearborn', 'Abraham Martinez']","['Tchavdar Georgiev', 'Monique Zavistovski']",,Netflix,07-Dec-18,,United States,English,,,,,,07-12-18,,,,Bert Marcus,Bert Marcus Productions,,,,,,,,,,,,,,,,,,,,,
434,ReMastered: Who Killed Jam Master Jay?,Brian Oakes,,,,"['Jason Mizell', 'DJ Hurricane', 'Rahman Dukes']",,,,,Netflix,07-Dec-18,58 minutes,United States,English,,,58,,,07-12-18,,,,"['Jeff Zimbalist', 'Michael Zimbalist']",,,,,,,,,,,,,,,,,,,,,,
435,"Out of Many, One","['John Hoffman', 'Nanfu Wang']",,,,,,,,,Netflix,12-Dec-18,34 minutes,United States,English,,,34,,,12-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Struggle: The Life and Lost Art of Szukalski,Irek Dobrowolski,,,,"['Stanislav Szukalski', 'Glenn Bray', 'Robert Williams']",,,,,Netflix,21-Dec-18,115 minutes,"['Poland', 'United States']",English,,,115,,,21-12-18,,,,"['Stephen Cooper', 'Irek Dobrowolski']",,,,,,,,,,,,,,,,,,,,,,
